time, prefix, as_path, leaker
2023-02-01 14:40:54,160.119.197.0/24,204092 34019 6696 6461 16637 29465 37282 3356 6453 9498 327708 327708 327708 327708 327708 327708 36873 36873 328171 ,37282
2023-02-01 18:26:09,72.13.168.0/24,263525 270577 268983 22356 3491 852 22457 22457 22457 577 1239 6939 15102 ,22457
2023-02-02 10:19:50,194.173.177.0/24,28646 8167 7738 52320 6461 8220 39702 8881 174 3320 197491 ,8220
2023-02-02 10:20:57,194.175.110.0/24,203086 42673 50606 29314 9002 3356 3209 39702 8881 174 3320 197491 ,39702
2023-02-03 07:59:57,197.243.64.0/22,28646 8167 7738 52320 6461 37662 36866 8966 174 3491 33765 37619 37228 ,36866
2023-02-03 17:16:32,192.8.156.0/24,133188 6461 3758 3758 7473 6453 13194 174 5400 36224 ,13194
2023-02-03 17:16:15,103.209.190.0/24,202365 57866 6461 7473 134078 4637 3491 3758 9255 134407 ,7473
2023-02-03 18:57:14,148.150.5.0/24,200005 13237 3257 3356 3908 7991 3561 55013 ,7991
2023-02-06 11:50:55,41.78.88.0/22,28186 7738 52320 6461 16637 29465 37282 6453 174 16284 37192 37192 37192 37192 37192 37192 ,37282
2023-02-06 14:43:37,151.237.94.0/23,202365 206499 50629 3356 6453 31287 174 3491 31287 35621 ,31287
2023-02-06 15:31:40,78.110.2.0/24,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 6461 59605 43766 358 ,43766
2023-02-06 21:45:58,78.24.72.0/24,28646 8167 7738 52320 6461 31500 6768 44628 28917 3257 3356 9002 43586 ,31500
2023-02-07 02:15:52,122.177.16.0/20,11039 4901 11164 6461 7473 3491 9498 24560 ,7473
2023-02-08 00:02:06,41.79.119.0/24,204092 34019 6696 6461 16637 29465 37282 6453 174 36920 37377 ,37282
2023-02-09 14:38:08,89.22.3.0/24,11039 46887 6461 29076 24739 48223 48223 48223 35526 43267 20764 174 3356 9002 57031 ,24739
2023-02-09 20:38:36,150.107.50.0/24,35710 48200 6762 7473 59378 58453 3491 9498 58655 23923 133439 ,59378
2023-02-12 12:00:35,196.10.231.0/24,204092 34019 6696 6461 16637 29465 37282 174 3356 37468 36923 37687 ,37282
2023-02-12 12:18:19,162.213.4.0/24,28329 7195 22356 16685 4230 701 7843 10796 13776 4323 3356 14554 ,13776
2023-02-12 15:02:24,93.159.197.0/24,202365 206499 50629 3320 12713 42313 42313 42313 42313 42313 42313 42313 6762 6939 47394 196838 ,42313
2023-02-12 21:01:17,200.74.224.0/23,202365 206499 50629 3356 1239 28007 8048 8048 8048 8048 8048 8048 8048 8048 8048 52320 6461 6762 264628 21980 ,28007
2023-02-14 07:48:14,217.69.184.0/24,202365 206499 50629 3320 15412 9304 174 3356 29357 ,9304
2023-02-14 07:59:39,202.44.106.0/24,61319 29075 6762 15412 9304 174 1299 6939 6939 58682 38011 38011 38011 38011 ,9304
2023-02-14 11:33:33,107.154.73.0/24,200155 39392 33891 6461 7473 4761 3491 19551 ,4761
2023-02-14 13:12:26,168.253.211.0/24,19704 13977 6461 16637 29465 37282 174 3356 8966 23764 37468 37230 ,37282
2023-02-14 16:57:48,220.243.248.0/24,203086 42673 3356 4637 4657 4761 1299 54994 ,4637
2023-02-15 22:09:14,154.66.220.0/24,11039 46887 6461 16637 29465 37282 3356 3491 12491 26130 26130 26130 26130 26130 26130 26130 ,37282
2023-02-16 15:14:17,46.253.12.0/24,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 12844 5410 3320 9002 ,9002
2023-02-18 04:52:03,145.246.68.0/24,133188 6461 38195 24482 134078 4657 1239 17676 4637 23763 23763 ,17676
2023-02-20 07:08:51,103.60.18.0/24,202365 49697 199610 34309 9002 3356 4637 137831 4657 1239 174 55329 9304 7552 38731 131435 ,4637
2023-02-20 21:05:27,196.13.123.0/24,28646 8167 7738 52320 6461 1273 36994 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 8657 174 37613 328983 37012 327853 ,29614
2023-02-21 10:58:57,223.239.16.0/21,53432 13994 10796 7843 6461 7473 3491 9498 45609 ,7473
2023-02-21 19:53:42,103.7.38.0/24,53432 13994 10796 7843 6461 7473 7552 3491 24088 38247 ,7552
2023-02-22 03:20:41,101.96.12.0/22,200155 39392 33891 6461 7473 7552 38731 38731 38731 38731 38731 38731 45903 1239 18403 18403 18403 45896 38738 ,38731
2023-02-22 09:20:57,65.18.124.0/24,202365 206499 50629 3356 4637 7552 7552 7552 7552 7552 7552 7552 7552 7552 7552 7552 1273 174 132876 136255 ,7552
2023-02-22 21:16:02,206.81.71.0/24,263525 270577 268983 22356 6461 46309 54370 209 26864 ,54370
2023-02-23 14:10:38,160.226.179.0/24,63774 9607 3356 1273 29614 29614 29614 29614 29614 8657 174 327814 37271 328983 37012 328185 ,29614
2023-02-23 14:55:08,196.43.207.0/24,205148 49102 9002 3356 1273 36994 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 29614 8657 174 37282 37304 ,29614
2023-02-24 03:28:28,46.255.144.0/21,28646 8167 7738 52320 174 3320 12713 42313 42313 42313 42313 42313 42313 42313 42313 42313 6762 6939 47394 ,42313
2023-02-24 14:05:02,210.57.218.0/24,53235 25933 16735 6762 7473 4761 3491 174 7713 38142 ,4761
2023-02-24 16:20:18,103.118.44.0/24,49463 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 13193 34659 12844 5410 174 6461  ,7552
2023-02-25 08:28:24,41.217.204.0/24,49463 13193 13193 13193 13193 13193 13193 34659 6461 16637 29465 37282 174 1299 44356 37076 37125 37125 37125 37125 37125 37125 37125 37125 37125 37125 ,37282
2023-02-25 18:41:57,144.36.168.0/23,202365 206499 50629 3320 13237 3573 8220 6461 7473 9304 17639 21433 ,3573
2023-02-26 06:54:32,195.208.174.0/24,28646 8167 7738 52320 6461 9002 9002 35401 35401 12389 6762 174 3216 56939 56939 56939 ,35401
2023-02-27 07:37:08,185.9.76.0/24,28186 7738 52320 6461 20485 48940 31133 174 3356 20764 8641 61068 61068 ,20485
2023-02-27 13:08:57,123.253.48.0/24,394256 54527 3356 4637 9304 9927 58453 174 15412 135607 136515 ,9927
2023-02-27 13:15:15,103.91.142.0/24,133188 6461 58453 9927 9304 1239 2914 15412 135607 136515 ,58453
2023-02-27 15:41:45,125.212.63.0/24,263287 262868 28329 3356 4637 18187 3491 6453 9299 38301 ,18187
2023-03-01 01:47:03,89.47.6.0/24,201953 50607 3356 6453 29119 201337 201337 201337 201337 201337 201337 201337 201337 200845 174 200845 ,201337
2023-03-01 11:04:03,196.43.244.0/24,204092 34019 6696 6461 16637 29465 37282 3356 6762 44356 37076 37125 37125 37125 37125 37125 37125 37125 37125 37125 37125 37490 ,37282
2023-03-01 20:09:16,102.176.240.0/24,28186 7738 52320 6461 16637 29465 37282 6453 174 327708 36873 36873 328256 328256 328256 ,37282
